SERIAL,DEPARTMENTID,HALLSTATUS,ADMISSIONDATE,CLASSATTENDENCEMARKS,CLASSTESTMARKS,PARTAMARKS,LEVELNAME,TERMNAME,GPA,CGPA,TERMCOUNT,CRHREARNED,TOTCRHRCOMPLETED,COURSECREDIT,,,
10328,ME,Resident,M,1/1/2005,HUM 103,A-,60,73,214,1,2,3,3,-1,19,40,3
10328,ME,Resident,M,1/1/2005,HUM 203,A-,62,82,218,2,2,3,3,4,21,81,3
10328,ME,Resident,M,1/1/2005,HUM 303,B+,60,66,196,2,1,3,3,3,21,61,3
10328,ME,Resident,M,1/1/2005,IPE 331,B-,85,48,223,3,2,3,3,6,20,122,4
10328,ME,Resident,M,1/1/2005,IPE 332,B+,NA,NA,51,3,2,3,3,6,20,122,0.75
10328,ME,Resident,M,1/1/2005,IPE 381,B+,77,52,195,3,2,3,3,6,20,122,3
10328,ME,Resident,M,1/1/2005,IPE 382,B+,NA,NA,50,3,2,3,3,6,20,122,0.75
10328,ME,Resident,M,1/1/2005,IPE 431,B+,71,77,199,4,1,3,3,7,17,139,3
10328,ME,Resident,M,1/1/2005,IPE 432,A,NA,NA,57,4,1,3,3,7,17,139,0.75
10328,ME,Resident,M,1/1/2005,IPE 481,A-,104,85,278,4,2,4,3,8,23,162,4
10328,ME,Resident,M,1/1/2005,MATH 161,A-,91,90,289,1,1,3,3,-1,21,21,4
10328,ME,Resident,M,1/1/2005,MATH 163,A+,116,115,320,1,2,3,3,-1,19,40,4
10328,ME,Resident,M,1/1/2005,MATH 261,B,83,106,253,2,1,3,3,3,21,61,4
10328,ME,Resident,M,1/1/2005,MATH 263,B-,81,43,219,2,2,3,3,4,21,81,4
10328,ME,Resident,M,1/1/2005,ME 160,A-,NA,NA,107,1,1,3,3,-1,21,21,1.5
10328,ME,Resident,M,1/1/2005,ME 161,B+,63,59,203,1,1,3,3,-1,21,21,3
10328,ME,Resident,M,1/1/2005,ME 171,B,65,59,189,1,2,3,3,-1,19,40,3
10328,ME,Resident,M,1/1/2005,ME 172,B+,NA,NA,49,1,2,3,3,-1,19,40,0.75
10328,ME,Resident,M,1/1/2005,ME 201,B,74,74,251,2,1,3,3,3,21,61,4
10328,ME,Resident,M,1/1/2005,ME 202,A-,NA,NA,53,2,1,3,3,3,21,61,0.75
10328,ME,Resident,M,1/1/2005,ME 241,A-,78,80,278,2,1,3,3,3,21,61,4
10328,ME,Resident,M,1/1/2005,ME 243,B,52,66,182,2,2,3,3,4,21,81,3
10328,ME,Resident,M,1/1/2005,ME 244,A-,NA,NA,54,2,2,3,3,4,21,81,0.75
10328,ME,Resident,M,1/1/2005,ME 260,A-,NA,NA,111,2,2,3,3,4,21,81,1.5
10328,ME,Resident,M,1/1/2005,ME 261,A-,71,87,223,2,2,3,3,4,21,81,3
10328,ME,Resident,M,1/1/2005,ME 262,B,NA,NA,45,2,2,3,3,4,21,81,0.75
10328,ME,Resident,M,1/1/2005,ME 301,A-,82,63,221,3,1,3,3,5,21,102,3
10328,ME,Resident,M,1/1/2005,ME 302,B+,NA,NA,49,3,1,3,3,5,21,102,0.75
10328,ME,Resident,M,1/1/2005,ME 303,A,83,56,228,3,2,3,3,6,20,122,3
10328,ME,Resident,M,1/1/2005,ME 304,A-,NA,NA,54,3,2,3,3,6,20,122,0.75
10328,ME,Resident,M,1/1/2005,ME 321,D,17,48,123,3,1,3,3,5,21,102,3
10328,ME,Resident,M,1/1/2005,ME 322,A-,NA,NA,53,3,1,3,3,5,21,102,0.75
10328,ME,Resident,M,1/1/2005,ME 323,A+,93,61,241,3,2,3,3,6,20,122,3
10328,ME,Resident,M,1/1/2005,ME 324,B+,NA,NA,51,3,2,3,3,6,20,122,0.75
10328,ME,Resident,M,1/1/2005,ME 341,B,83,30,189,3,1,3,3,5,21,102,3
10328,ME,Resident,M,1/1/2005,ME 342,B+,NA,NA,51,3,1,3,3,5,21,102,0.75
10328,ME,Resident,M,1/1/2005,ME 343,A+,92,80,239,3,2,3,3,6,20,122,3
10328,ME,Resident,M,1/1/2005,ME 344,A-,NA,NA,53,3,2,3,3,6,20,122,0.75
10328,ME,Resident,M,1/1/2005,ME 345,B+,80,100,272,3,1,3,3,5,21,102,4
10328,ME,Resident,M,1/1/2005,ME 346,B-,NA,NA,83,3,1,3,3,5,21,102,1.5
10328,ME,Resident,M,1/1/2005,ME 361,B,43,60,181,3,1,3,3,5,21,102,3
10328,ME,Resident,M,1/1/2005,ME 362,B,NA,NA,45,3,1,3,3,5,21,102,0.75
10328,ME,Resident,M,1/1/2005,ME 370,S,NA,NA,Sat,4,1,3,3,7,17,139,0
10328,ME,Resident,M,1/1/2005,ME 400,A,NA,NA,456,4,2,4,3,8,23,162,6
10328,ME,Resident,M,1/1/2005,ME 400,X,NA,NA,Cont,4,1,3,3,7,17,139,0
10328,ME,Resident,M,1/1/2005,ME 401,B+,61,70,204,4,1,3,3,7,17,139,3
10328,ME,Resident,M,1/1/2005,ME 402,A-,NA,NA,55,4,1,3,3,7,17,139,0.75
10328,ME,Resident,M,1/1/2005,ME 403,A,76,72,233,4,2,4,3,8,23,162,3
10328,ME,Resident,M,1/1/2005,ME 404,B+,NA,NA,49,4,2,4,3,8,23,162,0.75
10328,ME,Resident,M,1/1/2005,ME 409,A+,81,71,242,4,2,4,3,8,23,162,3
10328,ME,Resident,M,1/1/2005,ME 415,A,91,58,226,4,1,3,3,7,17,139,3
10328,ME,Resident,M,1/1/2005,ME 421,B+,53,67,202,4,1,3,3,7,17,139,3
10328,ME,Resident,M,1/1/2005,ME 422,B+,NA,NA,51,4,1,3,3,7,17,139,0.75
10328,ME,Resident,M,1/1/2005,ME 427,A+,87,76,242,4,2,4,3,8,23,162,3
10328,ME,Resident,M,1/1/2005,ME 433,A+,83,79,252,4,2,4,3,8,23,162,3
10328,ME,Resident,M,1/1/2005,ME 467,A-,66,66,212,4,1,3,3,7,17,139,3
10328,ME,Resident,M,1/1/2005,MME 291,B,45,84,181,2,2,3,3,4,21,81,3
10328,ME,Resident,M,1/1/2005,MME 292,B+,NA,NA,103,2,2,3,3,4,21,81,1.5
10328,ME,Resident,M,1/1/2005,PHY 102,B+,NA,NA,97,1,2,3,3,-1,19,40,1.5
10328,ME,Resident,M,1/1/2005,PHY 105,B,74,65,187,1,1,3,3,-1,21,21,3
10328,ME,Resident,M,1/1/2005,PHY 107,A-,68,69,209,1,2,3,3,-1,19,40,3
10328,ME,Resident,M,1/1/2005,SHOP 160,A,NA,NA,79,1,1,3,3,-1,21,21,1.5
10328,ME,Resident,M,1/1/2005,SHOP 170,B,NA,NA,31,1,2,3,3,-1,19,40,1.5
