SERIAL,DEPARTMENTID,HALLSTATUS,DISTRICT,THANA,SEX,PLACEOFBIRTH,STARTINGACADEMICYEAR2,ADMISSIONDATE,COURSENUMBER,LETTERGRADE,CLASSATTENDENCEMARKS,CLASSTESTMARKS,PARTAMARKS,PARTBMARKS,TOTALNUMBER,LEVELNAME,TERMNAME,GPA,CGPA,TERMCOUNT,CRHREARNED,TOTCRHRCOMPLETED
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 206,A,INF,INF,NA,NA,117,2,2,4,4,4,20,80
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 208,A-,INF,INF,NA,NA,111,2,1,4,3,3,21,60
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 301,B+,30,49,65,61,205,3,1,3,4,5,20,99
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 302,A-,INF,INF,NA,NA,108,3,1,3,4,5,20,99
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 303,B,27,42,34,90,193,3,1,3,4,5,20,99
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 304,A,INF,INF,NA,NA,112,3,2,4,4,6,21,120
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 305,A-,30,44,78,64,216,3,2,4,4,6,21,120
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 306,A,INF,INF,NA,NA,113,3,2,4,4,6,21,120
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 307,B,30,32,80,47.5,190,3,1,3,4,5,20,99
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 308,B+,INF,INF,NA,NA,100,3,1,3,4,5,20,99
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 309,A,30,39,74,82,225,3,2,4,4,6,21,120
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 310,A,INF,INF,NA,NA,115,3,2,4,4,6,21,120
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 311,A,40,63,118,92,313,3,2,4,4,6,21,120
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 400,A+,INF,INF,NA,NA,486,4,2,4,4,8,23,159
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 400,X,INF,INF,NA,NA,Cont,4,1,4,4,7,17,136
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 401,A+,30,40,98,72,240,4,1,4,4,7,17,136
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 402,A,INF,INF,NA,NA,114,4,1,4,4,7,17,136
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 403,B+,30,45,71,48,194,4,1,4,4,7,17,136
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 405,B+,27,39,56,72,194,4,1,4,4,7,17,136
11301,ChE,Attached,,,F,,2005,1/1/2005,CHE 407,B,20,23,35,46,124,4,2,4,4,8,23,159
