SERIAL,DEPARTMENTID,HALLSTATUS,DISTRICT,THANA,SEX,PLACEOFBIRTH,STARTINGACADEMICYEAR2,ADMISSIONDATE,COURSENUMBER,LETTERGRADE,CLASSATTENDENCEMARKS,CLASSTESTMARKS,PARTAMARKS,PARTBMARKS,TOTALNUMBER,LEVELNAME,TERMNAME,GPA,CGPA,TERMCOUNT,CRHREARNED,TOTCRHRCOMPLETED
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,EEE 165,,,,,,,1,2,,,2,,
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,HUM 185,,,,,,,1,2,,,2,,
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,HUM 274,,,,,,,1,2,,,2,,
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,HUM 375,A+,20,34,55,55,164,1,1,4,4,1,19,19
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,MATH 137,A+,30,56,76,81,243,1,1,4,4,1,19,19
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,MATH 139,,,,,,,1,2,,,2,,
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,PHY 101,A,30,57,64,82,233,1,1,4,4,1,19,19
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,PHY 102,A-,,,,,106,1,1,4,4,1,19,19
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,PHY 151,,,,,,,1,2,,,2,,
"14,251",CE,Attached,Satkhira,Kalaroa,M,Satkhira,,03/27/2012 00:00:00,SHOP 132,,,,,,,1,2,,,2,,
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,CE 100,D,,,,,60,1,1,2,2,1,19,19
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,CE 101,D,27,37,34,21,119,1,1,2,2,1,19,19
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,CE 102,,,,,,,1,2,,,2,,
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,CE 103,,,,,,,1,2,,,2,,
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,CHEM 103,D,30,28,28,34,120,1,1,2,2,1,19,19
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,CHEM 114,B+,,,,,98,1,1,2,2,1,19,19
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,EEE 165,,,,,,,1,2,,,2,,
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,HUM 185,,,,,,,1,2,,,2,,
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,HUM 274,,,,,,,1,2,,,2,,
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,HUM 355,C+,20,19,23,38,100,1,1,2,2,1,19,19
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,MATH 137,D,18,34,35,32,119,1,1,2,2,1,19,19
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,MATH 139,,,,,,,1,2,,,2,,
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,PHY 101,D,24,23,13,59,119,1,1,2,2,1,19,19
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,PHY 102,A-,,,,,105,1,1,2,2,1,19,19
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,PHY 151,,,,,,,1,2,,,2,,
"14,252",CE,Resident,Rangpur,Kotwali,M,Rangpur,,03/27/2012 00:00:00,SHOP 132,,,,,,,1,2,,,2,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHE 111,D,30,28,46,16,120,1,2,3,3,2,20,40
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHE 201,,,,,,,2,1,,,3,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHE 203,,,,,,,2,1,,,3,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHE 208,,,,,,,2,1,,,3,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHEM 111,A-,30,53,72,55,210,1,1,4,4,1,20,20
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHEM 112,A,,,,,117,1,1,4,4,1,20,20
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHEM 116,A,,,,,116,1,2,3,3,2,20,40
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHEM 131,B+,30,41,77,56,204,1,2,3,3,2,20,40
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHEM 235,,,,,,,2,1,,,3,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,CHEM 236,,,,,,,2,1,,,3,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,EEE 155,A+,30,55,83,79,247,1,1,4,4,1,20,20
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,EEE 156,A,,,,,116,1,1,4,4,1,20,20
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,EEE 267,,,,,,,2,1,,,3,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,EEE 268,,,,,,,2,1,,,3,,
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,HUM 125,A,20,32,52,45,149,1,2,3,3,2,20,40
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,HUM 272,A,,,,,116,1,2,3,3,2,20,40
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,MATH 121,A-,30,59,59,61,209,1,1,4,4,1,20,20
"14,253",ChE,Resident,Chandpur,Chandpur hq,M,Chandpur,,03/27/2012 00:00:00,MATH 123,A-,30,42,90,51,213,1,2,3,3,2,20,40
