SID,Department,Hall_Status,Male_Female,Attendance,ClassText,Cgpa,Total_Credit_Completed,Status
4480,8,1,1,0.965789474,0.662719298,2.997282609,161,Poor
4481,8,1,1,0.893162393,0.82991453,3.414596273,161,Moderate
4483,9,1,0,0.860194175,0.741359223,3.549841772,158,Moderate
4484,9,1,1,0.799029126,0.618932039,3.195411392,158,Poor
4485,9,1,1,0.848543689,0.752524272,3.665348101,158,Good
4486,9,0,0,0.870873786,0.681699029,3.404272152,158,Moderate
4487,9,1,1,0.980582524,0.77407767,3.640822785,158,Good
4488,9,0,0,0.724271845,0.685533981,3.185126582,158,Poor
4489,9,0,0,0.937864078,0.690485437,3.496044304,158,Moderate
4490,9,1,1,0.616964286,0.599910714,3.027138158,152,Poor
4492,11,1,1,0.990756303,0.721638655,3.065217391,161,Poor
4493,11,1,1,0.719230769,0.686269231,3.078020134,149,Very Poor
4494,11,1,0,0.891596639,0.781008403,3.254658385,161,Moderate
4496,11,0,1,0.983193277,0.733529412,3.226708075,161,Moderate
4497,11,1,1,0.875630252,0.757563025,3.372670807,161,Moderate
4498,11,0,1,0.81092437,0.730840336,3.095496894,161,Poor
4499,11,1,0,0.968907563,0.677731092,2.894409938,161,Very Poor
4566,10,0,0,0.865882353,0.692117647,2.596710526,190,Very Poor
4587,1,1,1,0.614705882,0.469117647,2.842391304,161,Very Poor
4588,7,1,1,0.995652174,0.767391304,3.219339623,159,Poor
4589,5,1,1,0.956198347,0.814876033,3.665372671,161,Good
4590,2,1,1,0.9864,0.8622,3.787808642,162,Very Good
4591,2,1,1,0.964,0.8036,3.376929012,162,Moderate
4592,5,1,1,0.9325,0.86125,3.67421875,160,Good
4593,4,0,0,0.987401575,0.81023622,3.68904321,162,Good
4594,5,0,0,0.97107438,0.77768595,3.369565217,161,Moderate
4595,7,0,1,0.611176471,0.442205882,2.646915584,154,Very Poor
4596,7,1,1,0.380701754,0.304181287,2.418604651,129,Very Poor
4597,8,1,1,0.980701754,0.927192982,3.965062112,161,Excellent
4598,4,0,0,0.98,0.736507937,2.989197531,162,Very Poor
4609,2,0,1,0.9448,0.773,3.466049383,162,Good
4610,4,1,1,0.568571429,0.482142857,2.678629032,155,Very Poor
4611,4,1,1,0.978,0.804065041,3.239197531,162,Moderate
4646,4,1,1,0.941463415,0.77804878,3.05632716,162,Poor
4647,5,1,1,0.914166667,0.71625,3.0765625,160,Poor
4648,2,0,1,0.9864,0.7296,3.222993827,162,Moderate
4650,2,0,1,1,0.8398,3.725308642,162,Very Good
4651,4,0,1,0.898540146,0.552554745,2.518518519,162,Very Poor
4652,11,0,1,0.963865546,0.744957983,3.430900621,161,Good
4653,4,0,1,0.965648855,0.772137405,3.321759259,162,Moderate
4655,3,1,0,0.983898305,0.727966102,3.320601852,162,Moderate
4666,10,1,1,0.067391304,0.332016304,1.736607143,140,Very Poor
4667,10,1,0,0.527058824,0.603,2.257236842,190,Very Poor
4668,10,0,1,0.770588235,0.600882353,2.465789474,190,Very Poor
